SALE DATE,Hour,Minute,Second
20030404,5,46,50
20030115,19,36,39
20050518,21,53,11
20141229,1,29,20
20130617,1,43,21
20040804,12,18,18
19950701,3,38,30
19980222,22,6,6
19980601,17,52,32
20120608,6,27,33
20111130,1,44,16
20040510,23,17,47
19911201,19,7,22
19940901,12,49,1
19970501,21,34,38
19911101,5,20,34
19970601,4,7,19
20010830,5,53,3
20050801,1,47,46
20060111,18,24,17
20080211,2,24,54
20060201,0,23,24
20001227,21,28,10
20030414,19,31,8
20020503,10,37,47
20030417,17,30,56
20110617,18,52,18
20030905,14,28,45
20070406,10,36,9
19961201,2,0,42
19760901,12,27,33
19870701,14,49,48
20031230,11,4,19
20140624,11,44,47
20060911,7,19,57
20141223,16,33,30
20141223,23,43,55
19940801,11,28,28
19981201,12,33,49
19841001,22,42,40
19800501,15,45,25
20050531,15,11,46
19970901,22,7,19
19830701,24,25,58
20011220,11,54,42
20020531,24,32,19
19860101,3,22,15
20050531,24,56,12
20050531,11,28,24
20010604,3,35,57
19861101,15,56,25
19881001,16,47,12
19940701,7,26,2
19771201,3,39,44
19770701,15,27,26
20050715,15,22,41
19880501,16,52,46
20000128,10,39,51
20140429,6,36,39
20140630,5,47,25
20140630,10,26,43
20120820,24,55,55
20070426,4,52,9
20140429,1,18,19
20021112,0,17,26
20020806,2,22,54
20140314,3,43,9
19981001,7,51,42
19871201,1,38,41
20080505,23,40,35
19980701,9,20,9
20010927,24,18,28
19960501,2,39,46
19981101,9,51,49
20040617,22,21,24
19871001,22,55,2
19800901,21,14,35
20060519,24,3,26
20100127,24,41,14
19970701,5,53,7
20120120,14,37,48
19980901,3,11,26
20050728,8,28,16
20001025,19,18,11
20040506,8,34,41
20000811,14,23,3
20060323,18,15,1
20141210,18,7,16
20100827,9,6,16
20091217,10,56,45
20131018,11,46,47
20011228,1,13,58
20060502,10,41,4
20111014,11,57,43
20040105,7,49,46
19890601,5,57,55
20010801,19,30,56
20050802,14,36,52
20090313,8,25,6
20130715,18,33,10
20110125,10,3,31
20090227,8,51,59
20100507,22,20,47
20021031,21,0,58
20071116,3,25,11
20071231,3,54,36
19961001,14,18,1
20130930,1,25,48
20050831,7,36,35
20100730,19,38,14
20100930,18,50,38
20081205,23,29,39
20070831,23,34,46
20110811,7,26,35
20031030,17,39,41
20040903,23,44,16
20131022,16,43,15
19950601,20,26,4
20040611,7,33,37
20121101,4,8,29
20070316,10,21,42
20070817,14,42,37
20100816,11,17,11
20140128,14,3,23
20040929,10,10,7
20140701,12,26,12
20140515,15,20,59
20020329,3,1,36
20081107,20,6,7
19920701,5,52,7
20111025,4,3,50
20011205,8,32,54
19881101,19,55,43
20061206,9,29,44
20121026,13,1,35
20100831,4,23,25
20010914,18,53,30
19970801,10,49,46
19890801,21,27,7
20020828,16,47,55
20131219,6,34,58
20081024,21,45,27
20130426,15,44,36
20031201,8,34,50
20121026,1,27,0
20090723,12,9,20
20140620,22,30,7
19830101,11,30,35
20041124,22,11,28
19830501,6,23,34
20031126,18,13,6
20040617,15,31,49
20011130,12,25,44
20050722,7,30,31
20080328,7,49,42
20120814,5,18,19
20080501,19,54,58
20090305,22,56,8
20090213,23,38,50
20080711,4,43,29
20120501,8,39,4
20131219,19,58,37
20120420,15,56,30
20131009,24,49,59
20130117,4,29,37
20130719,18,54,15
20110303,14,51,48
20131206,3,30,13
20050801,18,42,0
19950401,6,35,25
19960901,4,35,54
20120510,18,55,40
20061017,23,47,0
19960801,12,52,8
19920101,14,38,24
19980601,20,10,56
19951201,10,8,1
20140324,11,39,5
20100630,0,16,42
19951001,12,37,15
19970701,14,59,25
20070716,18,27,37
20060817,24,48,23
19890801,9,21,35
19950901,13,47,56
19810801,7,46,59
20080829,1,24,55
19960701,5,47,1
20130522,24,22,21
20110627,23,3,16
20100514,2,32,2
20120409,18,43,30
19971101,5,45,35
20060227,1,13,32
20041105,10,57,39
20140401,24,22,50
19920801,13,47,0
20010621,10,34,32
20050815,22,22,20
19960401,11,21,16
20120530,21,26,52
20070907,5,28,28
20120730,10,18,50
19991101,17,34,12
20130222,5,31,59
19981101,5,45,55
20061002,4,46,50
20070629,21,0,19
19960801,0,57,29
20141031,23,56,16
19990701,6,0,4
19880101,11,58,31
20070116,14,43,48
20060630,23,36,40
19990901,15,46,18
20060214,6,26,36
20041208,12,13,13
20140717,13,44,28
20030520,20,19,49
19990401,15,2,9
20000420,11,29,22
20070209,20,11,56
19980801,7,53,26
19890301,16,2,40
20021016,10,24,26
20060901,4,46,16
20060615,22,4,56
20060922,1,59,4
20021219,20,19,38
20040601,22,57,11
